Column1,Column2
تحت أي فئة فرعية بيجي كتاب سياسة الحكم في لبنان؛ تاريخ لبنان من الانتداب حتى الحرب الأهلية 1920-1976؟,SELECT Subcategory FROM books WHERE Title = 'سياسة الحكم في لبنان؛ تاريخ لبنان من الانتداب حتى الحرب الأهلية 1920-1976';
"مين اللي كاتب كتاب "" سري جداً""؟",SELECT Author FROM books WHERE Title = 'سري جداً';
"سعر "" تنمية مهارات التفكير"" قديش؟",SELECT Price FROM books WHERE Title = 'تنمية مهارات التفكير';
"مين اللي كاتب كتاب "" دراسة الجدوى الإقتصادية للمشاريع""؟",SELECT Author FROM books WHERE Title = 'دراسة الجدوى الإقتصادية للمشاريع';
"سعر "" أبعاد - العدد الثامن، البيئة في لبنان الواقع والخيارات البديلة 2"" قديش؟","SELECT Price FROM books WHERE Title = 'أبعاد - العدد الثامن، البيئة في لبنان الواقع والخيارات البديلة 2';"
ما الكتُب التي كتبها كلود عبيد وعدد صفحاتها؟,"SELECT Title, Pages FROM books WHERE Author = 'كلود عبيد';"
"مين الكاتب تبع "" مسائل في نظرية الأعداد""؟",SELECT Author FROM books WHERE Title = 'مسائل في نظرية الأعداد';
"سعر "" المصارف الإسلامية"" قديش؟",SELECT Price FROM books WHERE Title = 'المصارف الإسلامية';
مين ألّف كتاب Sahar And The Enchanted Prince And Other Stories؟,SELECT Author FROM books WHERE Title = 'Sahar And The Enchanted Prince And Other Stories';
"مين اللي كاتب كتاب "" معضلة العولمة""؟",SELECT Author FROM books WHERE Title = 'معضلة العولمة';
"شو سعر كتاب "" انعكاسات العولمة السياسية والثقافية على الوطن العربي""؟",SELECT Price FROM books WHERE Title = 'انعكاسات العولمة السياسية والثقافية على الوطن العربي';
تحت أي فئة فرعية بيجي كتاب الألوان المائية؟,SELECT Subcategory FROM books WHERE Title = 'الألوان المائية';
شو الفئة الفرعية تبعت العيش معاً مع الفوارق؟,SELECT Subcategory FROM books WHERE Title = 'العيش معاً مع الفوارق';
"ما نوع غلاف كتاب ""لبنان والنهضة العربية الحديثة""؟",SELECT Cover FROM books WHERE Title = 'لبنان والنهضة العربية الحديثة';
"ما هو سعر كتاب ""لتكوني أجمل""؟",SELECT Price FROM books WHERE Title = 'لتكوني أجمل';
شو الكتب التي كتبها عبد القادر مطاي وشو هي أسعارها؟,"SELECT Title, Price FROM books WHERE Author = 'عبد القادر مطاي';"
بدي أعرف شو الكتب اللي طبعتها دار  النخبة للتأليف والترجمة والنشر؟,SELECT Title FROM books WHERE Publisher = 'النخبة للتأليف والترجمة والنشر';
"من هو الناشر لكتاب ""أحلم أن أكون طاهيا""؟",SELECT Publisher FROM books WHERE Title = 'أحلم أن أكون طاهيا';
"بتعرف عدد صفحات كتاب ""إضاءات نيتشوية : ما قبل الكلام... وما بعده الجزء الأول""؟",SELECT Pages FROM books WHERE Title = 'إضاءات نيتشوية : ما قبل الكلام... وما بعده الجزء الأول';
"قديش عدد صفحات "" آثار الإيمان باليوم الأخر من تفسير الطبري – شمواه""؟",SELECT Pages FROM books WHERE Title = 'آثار الإيمان باليوم الأخر من تفسير الطبري – شمواه';
"قديش عدد صفحات "" وقع الأسل في من جهل ضرب المثل""؟",SELECT Pages FROM books WHERE Title = 'وقع الأسل في من جهل ضرب المثل';
"في أي سنة تم نشر كتاب ""بعد أن تحطم قلبي""؟",SELECT PublicationYear FROM books WHERE Title = 'بعد أن تحطم قلبي';
"مين اللي كاتب كتاب "" الحركات الإسلامة في فلسطين - العدد 22""؟",SELECT Author FROM books WHERE Title = 'الحركات الإسلامة في فلسطين - العدد 22';
"مين اللي كاتب كتاب "" إدارة خلايا نحل العسل في المناطق الجافة وشبه الجافة من الأردن والخليج العربي""؟",SELECT Author FROM books WHERE Title = 'إدارة خلايا نحل العسل في المناطق الجافة وشبه الجافة من الأردن والخليج العربي';
بدي اشوف كتب صادرة عن  مركز دراسات الشرق الأوسط.,SELECT Title FROM books WHERE Publisher = 'مركز دراسات الشرق الأوسط';
أيمتى نُشر كتاب السياسة المقارنة؟,SELECT PublicationYear FROM books WHERE Title = 'السياسة المقارنة';
مين اللي نشر كتاب التاريخ الخفي؟,SELECT Publisher FROM books WHERE Title = 'التاريخ الخفي';
مين دار النشر لكتاب أطلس الألعاب السحرية - ملون؟,SELECT Publisher FROM books WHERE Title = 'أطلس الألعاب السحرية - ملون';
"قديش عدد صفحات "" الإعلام الإسلامي بين الواقع والمرتجى""؟",SELECT Pages FROM books WHERE Title = 'الإعلام الإسلامي بين الواقع والمرتجى';
"مين اللي كاتب كتاب "" مسائل في نظرية الأعداد""؟",SELECT Author FROM books WHERE Title = 'مسائل في نظرية الأعداد';
"سعر "" محددات توزيع أرباح السهم في المؤسسات الخاصة -دراسة حالة الجزائر"" قديش؟",SELECT Price FROM books WHERE Title = 'محددات توزيع أرباح السهم في المؤسسات الخاصة -دراسة حالة الجزائر';
بدي كتاب صفحاته أكتر من 224,SELECT * FROM books WHERE Pages > 224
"مين الكاتب تبع "" تفسير فاتحة الكتاب""؟",SELECT Author FROM books WHERE Title = 'تفسير فاتحة الكتاب';
قديش حق أم المعارك؛ المعطيات والنتائج المستقبلية؟,SELECT Price FROM books WHERE Title = 'أم المعارك؛ المعطيات والنتائج المستقبلية';
"مين الكاتب تبع "" A la decouvertte de mathematiques 8""؟",SELECT Author FROM books WHERE Title = 'A la decouvertte de mathematiques 8';
"قديش ثمن "" الورطة""؟",SELECT Price FROM books WHERE Title = 'الورطة';
"بتعرف مين كتب "" تبييض الأموال والسرية المصرفية، الفساد أصل العلة""؟","SELECT Author FROM books WHERE Title = 'تبييض الأموال والسرية المصرفية، الفساد أصل العلة';"
ما اسم الناشر وسنة النشر لكتاب 'مدخل إلى الطب النفسي'؟,"SELECT Publisher, PublicationYear FROM books WHERE Title = 'مدخل إلى الطب النفسي';"
"ما هي الفئة الفرعية لكتاب ""منهج إعداد الطفل القائد""؟",SELECT Subcategory FROM books WHERE Title = 'منهج إعداد الطفل القائد';
"بتعرف مين كتب "" كرة البحر""؟",SELECT Author FROM books WHERE Title = 'كرة البحر';
"قديش عدد صفحات "" المرافئ القديمة من دفاتر الصحافة""؟",SELECT Pages FROM books WHERE Title = 'المرافئ القديمة من دفاتر الصحافة';
شو نوع كتاب مي و الجندب؟,SELECT Category FROM books WHERE Title = 'مي و الجندب';
"مين الكاتب تبع "" عن الأحزاب والدولة في لبنان""؟",SELECT Author FROM books WHERE Title = 'عن الأحزاب والدولة في لبنان';
"شو سعر كتاب ""الأعمال الفلسفية""؟",SELECT Price FROM books WHERE Title = 'الأعمال الفلسفية';
"مين اللي كاتب كتاب "" ميكانيك السيارات""؟",SELECT Author FROM books WHERE Title = 'ميكانيك السيارات';
بدي كتاب لـ  حسين نجيب محمد نُشر بعد 1999,SELECT * FROM books WHERE Author = 'حسين نجيب محمد' AND PublicationYear > 1999
"قديش ثمن "" منظومة فيها ما يحل ويحرم من الحيوان""؟",SELECT Price FROM books WHERE Title = 'منظومة فيها ما يحل ويحرم من الحيوان';
شو نوع كتاب الفاطميون والزنكيون والأيوبيون والمماليك وصراعهم حول السلطة في المشرق العربي (923-362هـ/973-1517م)؟,SELECT Category FROM books WHERE Title = 'الفاطميون والزنكيون والأيوبيون والمماليك وصراعهم حول السلطة في المشرق العربي (923-362هـ/973-1517م)';
"سعر ""فقه الفلسفة القول الفلسفي كتاب المفهوم والتأثيل ج2"" قديش؟",SELECT Price FROM books WHERE Title = 'فقه الفلسفة القول الفلسفي كتاب المفهوم والتأثيل ج2';
في عندك كتب عن إدارة الأعمال؟,SELECT * FROM books WHERE Subcategory LIKE '%إدارة الأعمال%'
ما الكتب التي كتبها حسن أحمد الحجوي وعدد صفحاتها؟,"SELECT Title, Pages FROM books WHERE Author = 'حسن أحمد الحجوي';"
"شو سعر كتاب "" لبنان في جامعة الدول العربية 1945-1958""؟",SELECT Price FROM books WHERE Title = 'لبنان في جامعة الدول العربية 1945-1958';
"مين الكاتب تبع "" فقه التدرج في التبليغ والتشريع في ضوء السنة النبوية""؟",SELECT Author FROM books WHERE Title = 'فقه التدرج في التبليغ والتشريع في ضوء السنة النبوية';
"من هو الناشر لكتاب ""قندس والعجلة المثقوبة""؟",SELECT Publisher FROM books WHERE Title = 'قندس والعجلة المثقوبة';
"شو الفئة الفرعية تبعت الظبي ""بامبي؟","SELECT Subcategory FROM books WHERE Title = 'الظبي ""بامبي';"
"قديش ثمن "" حزب الليكود ودوره في السياسة الإسرائيلية""؟",SELECT Price FROM books WHERE Title = 'حزب الليكود ودوره في السياسة الإسرائيلية';
غلاف الكتاب دقيقة واحدة ورقي ولا صلب؟,SELECT Cover FROM books WHERE Title = 'دقيقة واحدة';
"قديش ثمن "" خطوات نحو بحث النهج الإعلامي""؟",SELECT Price FROM books WHERE Title = 'خطوات نحو بحث النهج الإعلامي';
قديش حق موسوعة علم الآثار؟,SELECT Price FROM books WHERE Title = 'موسوعة علم الآثار';
قديش عدد صفحات عناية الرحمان في هداية السريان (وهو تاريخ للسريان في المشرق ولبنان)؟,SELECT Pages FROM books WHERE Title = 'عناية الرحمان في هداية السريان (وهو تاريخ للسريان في المشرق ولبنان)';
"سعر "" المعجم الإعلامي - ملون"" قديش؟",SELECT Price FROM books WHERE Title = 'المعجم الإعلامي - ملون';
"سعر "" الإبداع في عالم الأعمال"" قديش؟",SELECT Price FROM books WHERE Title = 'الإبداع في عالم الأعمال';
"شو سعر كتاب "" عيدان السماسم""؟",SELECT Price FROM books WHERE Title = 'عيدان السماسم';
قديش عدد صفحات مدخل إلى أنظمة إلكترونيات الطيران؟,SELECT Pages FROM books WHERE Title = 'مدخل إلى أنظمة إلكترونيات الطيران';
"سعر "" من قصص القرآن عن الطير والحيوان 30/1"" قديش؟",SELECT Price FROM books WHERE Title = 'من قصص القرآن عن الطير والحيوان 30/1';
"مين الكاتب تبع "" العلوم الاجتماعية - العدد السادس""؟",SELECT Author FROM books WHERE Title = 'العلوم الاجتماعية - العدد السادس';
مين كاتب النثر في عصر النبوة والخلافة الراشدة؟,SELECT Author FROM books WHERE Title = 'النثر في عصر النبوة والخلافة الراشدة';
"سعر "" أساسيات هندسة الاتصالات"" قديش؟",SELECT Price FROM books WHERE Title = 'أساسيات هندسة الاتصالات';
عن شو بيحكي كتاب الأم والطفل؟,SELECT Description FROM books WHERE Title = 'الأم والطفل';
ما اسم الناشر وسنة النشر لكتاب ' برج الدلو 2005'؟,"SELECT Publisher, PublicationYear FROM books WHERE Title = 'برج الدلو 2005';"
"بتعرف مين كتب "" الطريق إلى المنافي""؟",SELECT Author FROM books WHERE Title = 'الطريق إلى المنافي';
بدي كتاب لـ  جورج شحادة نُشر بعد 2008,SELECT * FROM books WHERE Author = 'جورج شحادة' AND PublicationYear > 2008
ما الكتُب التي كتبها مارك توين وعدد صفحاتها؟,"SELECT Title, Pages FROM books WHERE Author = 'مارك توين';"
"مين الكاتب تبع "" المحاسبة الضريبية في رسم الانتقال على الحقوق والأموال""؟",SELECT Author FROM books WHERE Title = 'المحاسبة الضريبية في رسم الانتقال على الحقوق والأموال';
"سعر "" Traite sur la predestination et le libre arbitre"" قديش؟",SELECT Price FROM books WHERE Title = 'Traite sur la predestination et le libre arbitre';
"قديش عدد صفحات "" رجال الله""؟",SELECT Pages FROM books WHERE Title = 'رجال الله';
"شو سعر كتاب "" أنا أختنق وطوكيو لاتنام""؟",SELECT Price FROM books WHERE Title = 'أنا أختنق وطوكيو لاتنام';
بكم سعر كتاب فلسفة الإمامة في الفكر الشيعي الإثني عشري؟,SELECT Price FROM books WHERE Title = 'فلسفة الإمامة في الفكر الشيعي الإثني عشري';
مين اللي نشر كتاب عبادة الجنس شرح لأصل أديان عبادة القضيب؟,SELECT Publisher FROM books WHERE Title = 'عبادة الجنس شرح لأصل أديان عبادة القضيب';
